Title	Assignees	Status	Timeline
Project Proposal	NathanielLozano3934	Done	Oct 2, 2023
Bill of Materials	NathanielLozano3934	Done	Oct 2, 2023
Project Roadmap	NathanielLozano3934	In Progress	Oct 6, 2023
Proof of purchase, KiCad	NathanielLozano3934	Todo	Oct 10, 2023
Soldering, Laser Cutting	NathanielLozano3934	Todo	Oct 12, 2023
Arrival of Materials	NathanielLozano3934	Todo	Oct 19, 2023
Begin building the physical model	NathanielLozano3934	Todo	Nov 2, 2023
Prepare the software integration	NathanielLozano3934	Todo	Nov 9, 2023
Implement communication between the software and the Raspberry Pi	NathanielLozano3934	Todo	Nov 13, 2023
Test for the model for functionality, address any issues	NathanielLozano3934	Todo	Nov 17, 2023
Optimize software performace with Raspberry Pi	NathanielLozano3934	Todo	Nov 20, 2023
Prepare for the final presentation	NathanielLozano3934	Todo	Nov 24, 2023
Final Presentation	NathanielLozano3934	Todo	Nov 30, 2023
Group Project Proposal	NathanielLozano3934	Todo	Jan 8, 2024
Declaration of authorship	NathanielLozano3934	Todo	Jan 12, 2024
Mobile status report by student B, laser cutting	NathanielLozano3934	Todo	Jan 18, 2024
Database status report by student C, 3D printing	NathanielLozano3934	Todo	Jan 25, 2024
Hardware connectivity status report by student D, firmware	NathanielLozano3934	Todo	Feb 1, 2024
Hardware/Firmware, Database, and Mobile App Independent Demonstration, all parts should work independently	NathanielLozano3934	Todo	Feb 8, 2024
Poster Draft, unit and production testing	NathanielLozano3934	Todo	Mar 1, 2024
Enclosure and integration status	NathanielLozano3934	Todo	Mar 8, 2024
Report Checklist	NathanielLozano3934	Todo	Mar 15, 2024
Presentation due, preliminary demonstrations	NathanielLozano3934	Todo	Mar 22, 2024
Troubleshooting, Project Demonstration	NathanielLozano3934	Todo	Mar 29, 2024
Group Final Presentation/Poster	NathanielLozano3934	Todo	Apr 5, 2024
Capstone Showcase	NathanielLozano3934	Todo	Apr 12, 2024